regis_id_year1,PROJ_THAI_NAME,PROJ_ABBR_NAME,COMP_THAI_NAME,PROJ_RETAIL_TYPE,POLICY_THAI_DESC,SPEC_GR_DESC,policyspec_desc,current_rmf_pvd_type,management_style_th,fund_compare,MUTUAL_INV_TYPE,INVEST_COUNTRY_FLAG,REDEMP_PERIOD,proj_term_th,SUPERVISOR_NAME,APPR_DATE,REGIS_DATE,nav_rmf_pvd,nav,invsest_own_fund_value
016/2536,กองทุนเปิดสตางค์แดง,STD,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงไทย จำกัด (มหาชน),14/10/2536,11/11/2536,-,109.64,-
017/2536,กองทุนเปิดนครหลวงไทย,SCIF,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน (Cross Investing Fund),,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงไทย จำกัด (มหาชน),26/10/2536,18/11/2536,-,124.31,-
018/2536,กองทุนเปิดเค ซีเล็คท์ หุ้นทุน,K-SELECT,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity Large Cap,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงเทพ จำกัด (มหาชน),1/11/2536,19/11/2536,-,635.49,-
023/2536,กองทุนเปิด วรรณพลัสวรรณ,ONE+1,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),23/11/2536,17/12/2536,-,159,-
024/2536,กองทุนเปิดสหธนาคารเอกปันผล 3,ONE-UB 3,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),15/11/2536,21/12/2536,-,78.73,-
026/2536,กองทุนเปิด กำไรเพิ่มพูน,KPLUS,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ประเทศไทย) จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity Large Cap,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร สแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),22/11/2536,29/12/2536,-,178.09,-
027/2536,กองทุนเปิด กำไรเพิ่มพูน 2,KPLUS2,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ประเทศไทย) จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity Large Cap,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร สแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),22/11/2536,29/12/2536,-,92.81,-
028/2536,กองทุนเปิดสตางค์แดงสอง,STD2,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงไทย จำกัด (มหาชน),23/11/2536,30/12/2536,-,63.69,-
001/2537,กองทุนเปิดเอกเอเซียพูนผล,ONE-FAS,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ผสม (ไม่กำหนดสัดส่วนการลงทุนในสินค้าโภคภัณฑ์; ไม่กำหนดสัดส่วนการลงทุนในตราสารทุน; ไม่กำหนดสัดส่วนการลงทุนในตราสารหนี้; ไม่กำหนดสัดส่วนการลงทุนในทองคำ; ไม่กำหนดสัดส่วนการลงทุนในกองทุนรวมโครงสร้างพื้นฐาน; ไม่กำหนดสัดส่วนการลงทุนในน้ำมันดิบ; ไม่กำหนดสัดส่วนการลงทุนในหน่วยลงทุนของกองทุนรวมอสังหาริมทรัพย์/REITs),,,,มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,Aggressive Allocation,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,อื่นๆ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงศรีอยุธยา จำกัด (มหาชน),3/12/2536,4/1/2537,-,127.03,-
002/2537,กองทุนเปิดนครหลวงไทย สอง,SCIF2,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน (Cross Investing Fund),,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงไทย จำกัด (มหาชน),1/12/2536,12/1/2537,-,26.74,-
004/2537,กองทุนเปิด วรรณ อิควิตี้,ONE-EQ,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),24/12/2536,20/01/2537,-,72.4,-
005/2537,กองทุนเปิดแอ๊ดคินซันโกรทฟันด์,AGF,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน (Cross Investing Fund),,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),3/12/2536,21/01/2537,-,41.5,-
006/2537,กองทุนเปิดธนชาตเจริญทรัพย์ปันผล,T-CSD,บริษัทหลักทรัพย์จัดการกองทุน ธนชาต จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ผสม (ไม่กำหนดสัดส่วนการลงทุนในตราสารทุน; ไม่กำหนดสัดส่วนการลงทุนในตราสารหนี้),,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบมีความเสี่ยงทั้งในและต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),1/12/2536,24/01/2537,-,"2,461.48",-
007/2537,กองทุนเปิดธนาวรรณ,THANA1,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),30/12/2536,26/01/2537,-,133.26,-
012/2537,กองทุนเปิดบัวแก้ว 2,BKA2,บริษัทหลักทรัพย์จัดการกองทุนรวม  บัวหลวง จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),3/2/2537,4/3/2537,-,811.93,-
013/2537,กองทุนเปิดยูไนเต็ดฟันด์,UNF,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),24/01/2537,9/3/2537,-,48.83,-
016/2537,กองทุนเปิด ทิสโก้หุ้นทุนปันผล,TISCOEDF,บริษัทหลักทรัพย์จัดการกองทุน ทิสโก้,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity Large Cap,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร ไทยพาณิชย์ จำกัด (มหาชน),8/2/2537,21/03/2537,-,102.9,-
017/2537,กองทุนเปิด ไทยดรากอน,TDF,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ประเทศไทย) จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร สแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),3/2/2537,22/03/2537,-,70.16,-
020/2537,กองทุนเปิดธีรทรัพย์,TS,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),4/3/2537,4/4/2537,-,19.06,-
021/2537,กองทุนเปิดสินภิญโญเจ็ด,SF7,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงไทย จำกัด (มหาชน),7/3/2537,8/6/2537,-,174.19,-
022/2537,กองทุนเปิด เกียรตินาคิน,KKF,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ประเทศไทย) จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร สแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),3/5/2537,6/7/2537,-,12.96,-
023/2537,กองทุนเปิดบัวแก้วปันผล,BKD,บริษัทหลักทรัพย์จัดการกองทุนรวม  บัวหลวง จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),21/06/2537,15/07/2537,-,"3,975.81",-
026/2537,กองทุนเปิดรวงข้าว 4,RKF4,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงเทพ จำกัด (มหาชน),8/3/2537,27/07/2537,-,335.4,-
027/2537,กองทุนเปิดสินชฎา,SCDF,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงไทย จำกัด (มหาชน),1/4/2537,29/07/2537,-,5.79,-
028/2537,กองทุนเปิดบัวหลวงธนคม,BTK,บริษัทหลักทรัพย์จัดการกองทุนรวม  บัวหลวง จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),8/7/2537,15/08/2537,-,704.37,-
029/2537,กองทุนเปิดตะวันออกหนึ่ง,DE-1,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,กองทุนรวมที่มีนโยบายเปิดให้มีการลงทุนในกองทุนรวมอื่นภายใต้ บลจ. เดียวกัน,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),10/3/2537,25/08/2537,-,47.92,-
033/2537,กองทุนเปิดไทยพาณิชย์ธนอนันต์,SCBDAFUND,บริษัทหลักทรัพย์จัดการกองทุน ไทยพาณิชย์ จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงเทพ จำกัด (มหาชน),15/06/2537,26/09/2537,-,365.81,-
034/2537,กองทุนเปิดบัวหลวงทศพล,BTP,บริษัทหลักทรัพย์จัดการกองทุนรวม  บัวหลวง จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),15/09/2537,7/10/2537,-,"10,687.99",-
035/2537,กองทุนเปิดบัวหลวงโครงสร้างพื้นฐาน,B-INFRA,บริษัทหลักทรัพย์จัดการกองทุนรวม  บัวหลวง จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กสิกรไทย จำกัด (มหาชน),20/09/2537,7/11/2537,-,"2,138.10",-
036/2537,กองทุนเปิดเค สตราทีจิค เทรดดิ้ง หุ้นทุน,K-STEQ,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,กองทุนเพื่อผู้ลงทุนทั่วไป,ตราสารทุน,,,,มุ่งหวังให้ผลประกอบการสูงกว่าดัชนีชี้วัด (active management),Equity General,ลงทุนโดยตรง,กองทุนที่ลงทุนแบบไม่มีความเสี่ยงต่างประเทศ,ทุกวันทำการ,ไม่กำหนดอายุโครงการ,ธนาคาร กรุงเทพ จำกัด (มหาชน),23/11/2537,20/12/2537,-,539.48,-
